#Temps	EA1{7}

5.43E-5	-0.573584372410551
5.44E-5	-0.53096665488556
5.45E-5	-0.490855861920863
5.46E-5	-0.445731219835579
5.47E-5	-0.403113502310589
5.48E-5	-0.360495784785599
5.49E-5	-0.315371142700314
5.5E-5	-0.270246500615031
5.51E-5	-0.22762878309004
5.52E-5	-0.182504141004756
5.53E-5	-0.137379498919472
5.54E-5	-0.0922548568341881
5.55E-5	-0.0496371393091977
5.56E-5	-0.00451249722391367
5.57E-5	0.0406121448613703
5.58E-5	0.0832298623863608
5.59E-5	0.128354504471645
5.6E-5	0.173479146556929
5.61E-5	0.216096864081919
5.62E-5	0.256207657046616
5.63E-5	0.298825374571607
5.64E-5	0.338936167536303
5.65E-5	0.379046960501
5.66E-5	0.419157753465697
5.67E-5	0.4567616218701
5.68E-5	0.496872414834797
5.69E-5	0.534476283239201
5.7E-5	0.56957322708331
5.71E-5	0.60467017092742
5.72E-5	0.637260190211236
5.73E-5	0.669850209495053
5.74E-5	0.702440228778869
5.75E-5	0.732523323502392
5.76E-5	0.762606418225914
5.77E-5	0.78767566382885
5.78E-5	0.815251833992079
5.79E-5	0.837814155034721
5.8E-5	0.862883400637656
5.81E-5	0.885445721680298
5.82E-5	0.905501118162647
5.83E-5	0.925556514644995
5.84E-5	0.940598062006757
5.85E-5	0.958146533928812
5.86E-5	0.973188081290573
5.87E-5	0.985722704092041
5.88E-5	0.995750402333215
5.89E-5	1.00828502513468
5.9E-5	1.01580579881556
5.91E-5	1.02332657249644
5.92E-5	1.02834042161703
5.93E-5	1.03084734617732
5.94E-5	1.03335427073762
5.95E-5	1.03084734617732
5.96E-5	1.03084734617732
5.97E-5	1.02583349705674
5.98E-5	1.02081964793615
5.99E-5	1.01580579881556
6E-5	1.01079194969498
6.01E-5	1.0007642514538
6.02E-5	0.988229628652334
6.03E-5	0.975695005850866
6.04E-5	0.963160383049399
6.05E-5	0.948118835687637
6.06E-5	0.933077288325876
6.07E-5	0.913021891843528
6.08E-5	0.895473419921473
6.09E-5	0.875418023439124
6.1E-5	0.852855702396482
6.11E-5	0.83029338135384
6.12E-5	0.807731060311198
6.13E-5	0.780154890147969
6.14E-5	0.755085644545034
6.15E-5	0.730016398942098
6.16E-5	0.699933304218575
6.17E-5	0.669850209495053
6.18E-5	0.63976711477153
6.19E-5	0.607177095487714
6.2E-5	0.577094000764191
6.21E-5	0.544503981480375
6.22E-5	0.514420886756852
6.23E-5	0.479323942912742
6.24E-5	0.446733923628926
6.25E-5	0.409130055224523
6.26E-5	0.374033111380413
6.27E-5	0.341443092096597
6.28E-5	0.3013322991319
6.29E-5	0.26623535528779
6.3E-5	0.231138411443681
6.31E-5	0.193534543039277
6.32E-5	0.155930674634874
6.33E-5	0.120833730790764
6.34E-5	0.0782160132657737
6.35E-5	0.0431190694216639
6.36E-5	0.00802212557755411
6.37E-5	-0.0295817428268492
6.38E-5	-0.0621717621106654
6.39E-5	-0.0997756305150688
6.4E-5	-0.134872574359179
6.41E-5	-0.172476442763582
6.42E-5	-0.207573386607692
6.43E-5	-0.240163405891508
6.44E-5	-0.277767274295911
6.45E-5	-0.307850369019434
6.46E-5	-0.34044038830325
6.47E-5	-0.373030407587066
6.48E-5	-0.403113502310589
6.49E-5	-0.435703521594405
6.5E-5	-0.463279691757634
6.51E-5	-0.493362786481157
6.52E-5	-0.520938956644386
6.53E-5	-0.546008202247322
6.54E-5	-0.576091296970844
6.55E-5	-0.598653618013486
6.56E-5	-0.623722863616422
6.57E-5	-0.64377826009877
6.58E-5	-0.671354430261999
6.59E-5	-0.686395977623761
6.6E-5	-0.708958298666403
6.61E-5	-0.726506770588458
6.62E-5	-0.741548317950219
6.63E-5	-0.759096789872274
6.64E-5	-0.771631412673742
6.65E-5	-0.786672960035503
6.66E-5	-0.799207582836971
6.67E-5	-0.809235281078145
6.68E-5	-0.819262979319319
6.69E-5	-0.829290677560493
6.7E-5	-0.836811451241374
6.71E-5	-0.839318375801668
6.72E-5	-0.844332224922255
6.73E-5	-0.846839149482548
6.74E-5	-0.846839149482548
6.75E-5	-0.849346074042842
6.76E-5	-0.849346074042842
6.77E-5	-0.844332224922255
6.78E-5	-0.841825300361961
6.79E-5	-0.836811451241374
6.8E-5	-0.83430452668108
6.81E-5	-0.824276828439906
6.82E-5	-0.816756054759026
6.83E-5	-0.806728356517851
6.84E-5	-0.796700658276677
6.85E-5	-0.784166035475209
6.86E-5	-0.769124488113448
6.87E-5	-0.754082940751687
6.88E-5	-0.741548317950219
6.89E-5	-0.723999846028164
6.9E-5	-0.706451374106109
6.91E-5	-0.686395977623761
6.92E-5	-0.666340581141412
6.93E-5	-0.648792109219357
6.94E-5	-0.623722863616422
6.95E-5	-0.603667467134073
6.96E-5	-0.581105146091431
6.97E-5	-0.556035900488496
6.98E-5	-0.53096665488556
6.99E-5	-0.505897409282625
7E-5	-0.480828163679689
7.01E-5	-0.455758918076754
7.02E-5	-0.428182747913524
7.03E-5	-0.398099653190002
7.04E-5	-0.370523483026773
7.05E-5	-0.342947312863544
7.06E-5	-0.312864218140021
7.07E-5	-0.285288047976792
7.08E-5	-0.255204953253269
7.09E-5	-0.225121858529747
7.1E-5	-0.195038763806224
7.11E-5	-0.164955669082701
7.12E-5	-0.132365649798885
7.13E-5	-0.104789479635656
7.14E-5	-0.0721994603518397
7.15E-5	-0.042116365628317
7.16E-5	-0.0120332709047943
7.17E-5	0.0180498238187283
7.18E-5	0.0456259939819574
7.19E-5	0.0782160132657737
7.2E-5	0.105792183429003
7.21E-5	0.135875278152525
7.22E-5	0.163451448315755
7.23E-5	0.193534543039277
7.24E-5	0.221110713202506
7.25E-5	0.248686883365735
7.26E-5	0.276263053528965
7.27E-5	0.3013322991319
7.28E-5	0.328908469295129
7.29E-5	0.353977714898065
7.3E-5	0.379046960501
7.31E-5	0.401609281543642
7.32E-5	0.426678527146578
7.33E-5	0.44924084818922
7.34E-5	0.469296244671568
7.35E-5	0.49185856571421
7.36E-5	0.511913962196559
7.37E-5	0.529462434118614
7.38E-5	0.547010906040668
7.39E-5	0.56205245340243
7.4E-5	0.579600925324485
7.41E-5	0.59714939724654
7.42E-5	0.609684020048007
7.43E-5	0.622218642849475
7.44E-5	0.634753265650943
7.45E-5	0.647287888452411
7.46E-5	0.657315586693585
7.47E-5	0.667343284934759
7.48E-5	0.672357134055346
7.49E-5	0.68238483229652
7.5E-5	0.687398681417108
7.51E-5	0.692412530537695
7.52E-5	0.694919455097988
7.53E-5	0.699933304218575
7.54E-5	0.699933304218575
7.55E-5	0.699933304218575
7.56E-5	0.702440228778869
7.57E-5	0.697426379658282
7.58E-5	0.697426379658282
7.59E-5	0.689905605977401
7.6E-5	0.687398681417108
7.61E-5	0.68238483229652
7.62E-5	0.672357134055346
7.63E-5	0.667343284934759
7.64E-5	0.657315586693585
7.65E-5	0.649794813012704
7.66E-5	0.637260190211236
7.67E-5	0.624725567409769
7.68E-5	0.612190944608301
7.69E-5	0.599656321806833
7.7E-5	0.584614774445072
7.71E-5	0.56957322708331
7.72E-5	0.552024755161256
7.73E-5	0.534476283239201
7.74E-5	0.519434735877439
7.75E-5	0.499379339395091
7.76E-5	0.481830867473036
7.77E-5	0.461775470990688
7.78E-5	0.441720074508339
7.79E-5	0.421664678025991
7.8E-5	0.399102356983349
7.81E-5	0.379046960501
7.82E-5	0.353977714898065
7.83E-5	0.331415393855423
7.84E-5	0.308853072812781
7.85E-5	0.283783827209845
7.86E-5	0.261221506167203
7.87E-5	0.238659185124561
7.88E-5	0.213589939521626
7.89E-5	0.18852069391869
7.9E-5	0.163451448315755
7.91E-5	0.138382202712819
7.92E-5	0.113312957109883
7.93E-5	0.0882437115069479
7.94E-5	0.0631744659040123
7.95E-5	0.0406121448613703
7.96E-5	0.0155428992584348
7.97E-5	-0.00952634634450078
7.98E-5	-0.0371025165077299
7.99E-5	-0.0596648375503719
8E-5	-0.0822271585930139
8.01E-5	-0.107296404195949
8.02E-5	-0.132365649798885
8.03E-5	-0.152421046281233
8.04E-5	-0.179997216444463
8.05E-5	-0.200052612926811
8.06E-5	-0.225121858529747
8.07E-5	-0.245177255012095
8.08E-5	-0.267739576054737
8.09E-5	-0.287794972537085
8.1E-5	-0.307850369019434
8.11E-5	-0.327905765501782
8.12E-5	-0.347961161984131
8.13E-5	-0.365509633906186
8.14E-5	-0.383058105828241
8.15E-5	-0.400606577750295
8.16E-5	-0.41815504967235
8.17E-5	-0.433196597034112
8.18E-5	-0.450745068956167
8.19E-5	-0.463279691757634
8.2E-5	-0.475814314559102
8.21E-5	-0.48834893736057
8.22E-5	-0.500883560162038
8.23E-5	-0.510911258403212
8.24E-5	-0.520938956644386
8.25E-5	-0.53096665488556
8.26E-5	-0.540994353126734
8.27E-5	-0.548515126807615
8.28E-5	-0.553528975928202
8.29E-5	-0.558542825048789
8.3E-5	-0.563556674169377
8.31E-5	-0.568570523289964
8.32E-5	-0.573584372410551
8.33E-5	-0.573584372410551
8.34E-5	-0.576091296970844
8.35E-5	-0.578598221531138
8.36E-5	-0.568570523289964
8.37E-5	-0.578598221531138
8.38E-5	-0.573584372410551
8.39E-5	-0.571077447850257
8.4E-5	-0.56606359872967
8.41E-5	-0.561049749609083
8.42E-5	-0.558542825048789
8.43E-5	-0.548515126807615
8.44E-5	-0.543501277687028
8.45E-5	-0.533473579445854
8.46E-5	-0.525952805764973
8.47E-5	-0.515925107523799
8.48E-5	-0.508404333842918
8.49E-5	-0.49586971104145
8.5E-5	-0.483335088239983
8.51E-5	-0.470800465438515
